source,country,review_id,author,rating,title,body,version,updated
app_store,au,14203566875,Enough Aus,1,Expense,You charge too much and don’t give artists enough,9.1.58,2026-06-19T19:28:41-07:00
app_store,au,14203382747,Ilasiayimase,4,Great but still can improve,Having been using Spotify for a couple of years. Lyrics sometimes are not accurate or not available. Suggest to add a function that user can provide lyrics for review before post. Also the background colour for full screen lyrics can’t be adjusted which is a pain especially when you follow the lyrics and have to look at the screen in bright colours fora long time when practicing a song.,9.1.58,2026-06-19T18:17:56-07:00
app_store,au,14203358260,Monty5775,5,The greatest app of music,Does free choice of songs that you can search and listen to you?,9.1.58,2026-06-19T18:08:24-07:00
app_store,au,14202804572,JLS8725,5,So good,Sooooooooooooooooooooooooooooooooooooooooooooooooooooo good,9.1.58,2026-06-19T14:30:57-07:00
app_store,au,14202550502,The human shield,1,You’ve done it…..NOT,"I was enjoying listening via premium service yesterday. Then all of a sudden it stopped and I thought to myself what has happened here
So I checked and it turns out all my music is gone/deleted and my premium account is gone!!! What have you done to me???
I need this account for my job which involves driving all day, each day. It keeps me happy. Now you have made it worse. Why should I pay for something I don’t have??!!! Fix it up!!!",9.1.58,2026-06-19T12:58:55-07:00
app_store,au,14202466153,BurntChiginNug,1,SO SLOW,The app takes like 20 seconds to open then 20 more seconds to open my liked songs then another 20 seconds to play a song,9.1.58,2026-06-19T12:29:40-07:00
app_store,au,14201456918,Darth Jar Jar Binks …,5,My review,"Lowkey got bored and saw this pop up, after listening to a horrific song so yeah. Ps I know how to juggle",9.1.58,2026-06-19T07:18:24-07:00
app_store,au,14200982238,Spotify Review❤️💗❤️💗,5,Spotify Review,"Spotify has helped me in many ways, calm down, make me cheer up and many other things. I listen to Spotify every day and it helps me focus on work and just for fun. My favourite songs on Spotify is 10:35, Megaverse and Chk Chk boom. There are many more but my favourite artists are Stray Kids, Post Malone and Livingston. If I love Spotify, then you can too, I encourage you to download Spotify and have the best life with it.",9.1.58,2026-06-19T04:52:32-07:00
app_store,au,14200899999,Feuegevvsiasudwpwhdvcec,4,Ads,There are way to manny adds,9.1.58,2026-06-19T04:24:04-07:00
app_store,au,14200773618,Tay Tay Ayy,5,Bring back the disco ball logo,"Please for a little while longer, keep the disco ball as the Spotify logo. Myself and many more love this whimsy icon and it adds some pizazz to our Home Screen. I love this app so much but please please BRING BACK THE DISCO BALL",9.1.58,2026-06-19T03:37:16-07:00
